Date,Open,High,Low,Close,Adj Close,Volume
2018-02-19,575.200012,577.450012,554.049988,562.849976,561.157471,479569
2018-02-20,563.299988,566.849976,557.549988,559.400024,557.717896,269422
2018-02-21,559.400024,563.000000,511.450012,524.750000,523.172058,4209528
2018-02-22,525.049988,549.950012,523.700012,542.150024,540.519775,1280068
2018-02-23,550.000000,575.000000,546.200012,570.200012,568.485413,2910655
2018-02-26,574.799988,574.799988,554.000000,556.150024,554.477661,777267
2018-02-27,557.400024,563.299988,542.000000,544.900024,543.261475,444191
2018-02-28,544.900024,552.000000,532.450012,535.349976,533.740173,1192129
2018-03-01,539.299988,548.000000,532.549988,534.500000,532.892700,298869
2018-03-05,535.000000,552.000000,527.099976,547.849976,546.202576,1127576
2018-03-06,560.299988,562.000000,530.000000,531.700012,530.101135,735489
2018-03-07,530.900024,534.049988,520.000000,525.099976,523.520996,489577
2018-03-08,525.500000,530.299988,509.799988,515.400024,513.850159,995166
2018-03-09,514.000000,519.750000,505.000000,506.799988,505.276001,489905
2018-03-12,510.549988,516.000000,507.149994,512.450012,510.909058,554475
2018-03-13,512.500000,525.400024,512.450012,522.900024,521.327637,432851
2018-03-14,523.500000,523.500000,516.799988,520.950012,519.383484,224279
2018-03-15,518.000000,529.000000,515.250000,516.900024,515.345703,488026
2018-03-16,513.000000,521.700012,501.100006,503.299988,501.786530,577872
2018-03-19,509.000000,509.950012,496.250000,497.899994,496.402771,329450
2018-03-20,495.049988,511.000000,493.799988,508.850006,507.319855,367894
2018-03-21,511.000000,515.799988,502.799988,504.700012,503.182343,409209
2018-03-22,520.000000,521.900024,505.250000,507.950012,506.422577,485676
2018-03-23,502.000000,506.200012,497.000000,501.799988,500.291046,244814
2018-03-26,501.799988,506.899994,496.450012,503.500000,501.985962,426524
2018-03-27,505.000000,512.000000,503.600006,505.250000,503.730682,367812
2018-03-28,501.200012,504.700012,493.000000,495.399994,493.910309,215021
2018-04-02,499.899994,509.500000,496.399994,507.799988,506.273010,157658
2018-04-03,505.399994,512.849976,505.200012,510.250000,508.715637,154190
2018-04-04,512.500000,514.950012,501.000000,502.000000,500.490448,204025
2018-04-05,505.000000,513.000000,505.000000,507.799988,506.273010,162612
2018-04-06,506.000000,515.200012,506.000000,512.400024,510.859222,216601
2018-04-09,512.500000,517.900024,507.549988,510.850006,509.313843,175709
2018-04-10,511.000000,515.950012,506.549988,508.000000,506.472412,425377
2018-04-11,509.000000,523.299988,509.000000,520.700012,519.134216,439981
2018-04-12,521.500000,525.000000,510.299988,514.849976,513.301819,166025
2018-04-13,515.000000,519.650024,510.700012,513.200012,511.656799,119094
2018-04-16,510.200012,521.299988,510.200012,519.650024,518.087402,143255
2018-04-17,521.000000,522.000000,510.549988,513.049988,511.507233,229314
2018-04-18,513.500000,525.000000,510.350006,511.899994,510.360687,163253
2018-04-19,514.000000,515.099976,507.450012,508.799988,507.269989,536814
2018-04-20,508.500000,509.000000,502.500000,505.399994,503.880219,127619
2018-04-23,505.899994,515.400024,505.899994,514.200012,512.653809,222511
2018-04-24,517.799988,523.549988,512.950012,517.650024,516.093445,268877
2018-04-25,515.000000,521.299988,511.200012,514.299988,512.753479,118402
2018-04-26,514.500000,522.799988,511.000000,512.549988,511.008728,235434
2018-04-27,516.000000,526.099976,515.500000,524.250000,522.673523,290608
2018-04-30,529.000000,531.250000,525.650024,528.150024,526.561829,239683
2018-05-02,530.950012,531.250000,510.750000,515.549988,513.999695,361938
2018-05-03,519.950012,537.500000,511.500000,534.500000,532.892700,541003
2018-05-04,529.700012,533.200012,516.599976,518.750000,517.190063,323985
2018-05-07,518.750000,520.000000,507.250000,513.549988,512.005737,243323
2018-05-08,515.000000,519.900024,508.899994,511.500000,509.961884,200295
2018-05-09,511.600006,514.500000,505.100006,506.299988,504.777527,196082
2018-05-10,506.250000,509.899994,495.500000,496.950012,495.455658,185935
2018-05-11,496.000000,496.000000,468.049988,471.850006,470.431122,750907
2018-05-14,473.000000,487.500000,471.350006,474.049988,472.624481,404276
2018-05-15,472.549988,479.950012,459.450012,468.250000,466.841949,655907
2018-05-16,469.100006,473.000000,462.549988,471.850006,470.431122,241794
2018-05-17,470.100006,485.649994,468.250000,480.100006,478.656311,436477
2018-05-18,489.700012,489.700012,463.000000,464.700012,463.302643,534715
2018-05-21,464.700012,467.000000,442.200012,443.799988,442.465454,422610
2018-05-22,447.500000,455.899994,434.799988,453.000000,451.637817,369584
2018-05-23,454.000000,461.049988,449.500000,451.950012,450.590973,254288
2018-05-24,455.000000,469.500000,451.600006,462.049988,460.660583,345596
2018-05-25,465.600006,472.000000,456.450012,466.549988,465.147034,369149
2018-05-28,487.700012,504.700012,481.700012,499.700012,498.197388,1147692
2018-05-29,498.000000,509.700012,490.700012,498.500000,497.000977,616451
2018-05-30,498.000000,503.200012,492.299988,494.750000,493.262268,247062
2018-05-31,495.000000,496.200012,475.000000,480.149994,478.706146,274198
2018-06-01,484.950012,489.950012,479.250000,482.899994,481.447876,215559
2018-06-04,486.000000,490.500000,477.000000,478.500000,477.061127,1896939
2018-06-05,477.799988,483.049988,470.500000,473.649994,472.225708,168180
2018-06-06,475.000000,491.799988,473.350006,488.850006,487.380005,261261
2018-06-07,492.000000,493.950012,485.799988,488.500000,487.031067,150312
2018-06-08,485.149994,532.650024,485.149994,528.200012,526.611694,1646767
2018-06-11,531.900024,544.000000,526.200012,535.000000,533.391235,1170458
2018-06-12,535.900024,544.500000,531.349976,540.500000,538.874695,507842
2018-06-13,552.500000,560.750000,542.349976,545.650024,544.009216,1219424
2018-06-14,548.400024,562.000000,542.049988,559.650024,557.967102,689922
2018-06-15,563.000000,573.299988,561.400024,571.049988,569.332825,808146
2018-06-18,572.799988,578.000000,564.250000,570.849976,569.133423,453947
2018-06-19,568.500000,576.650024,558.250000,560.099976,558.415710,352807
2018-06-20,559.000000,565.750000,553.200012,564.000000,562.304016,297856
2018-06-21,567.400024,567.400024,552.650024,554.599976,552.932251,187085
2018-06-22,551.000000,580.000000,548.000000,576.299988,574.567017,864771
2018-06-25,578.000000,591.299988,568.799988,572.150024,570.429565,778177
2018-06-26,572.250000,575.750000,566.049988,572.950012,571.227112,331774
2018-06-27,573.099976,588.000000,568.500000,574.950012,573.221130,331551
2018-06-28,577.950012,582.849976,563.500000,565.250000,563.550293,759260
2018-06-29,569.250000,572.049988,560.349976,560.549988,558.864380,1381646
2018-07-02,563.000000,573.200012,559.250000,563.549988,561.855347,200698
2018-07-03,563.000000,576.750000,561.000000,573.650024,571.925049,310548
2018-07-04,575.500000,588.250000,573.700012,579.049988,577.308777,594834
2018-07-05,580.000000,580.599976,563.700012,565.700012,563.998901,446220
2018-07-06,566.150024,573.000000,555.599976,558.450012,556.770752,335666
2018-07-09,559.099976,573.000000,559.099976,569.450012,567.737671,236518
2018-07-10,569.450012,571.549988,558.000000,562.400024,560.708862,596791
2018-07-11,566.000000,569.700012,559.250000,560.799988,559.113647,189054
2018-07-12,561.299988,570.700012,558.000000,563.700012,562.004944,229251
2018-07-13,566.000000,566.849976,557.500000,559.150024,557.468628,126982
2018-07-16,560.049988,562.500000,529.950012,532.950012,531.347412,459531
2018-07-17,536.900024,551.700012,533.250000,548.799988,547.149719,253615
2018-07-18,555.000000,559.000000,544.400024,549.549988,547.897461,393988
2018-07-19,560.000000,560.000000,542.599976,545.099976,543.460815,130251
2018-07-20,547.950012,563.000000,545.150024,559.900024,558.216370,224100
2018-07-23,560.049988,567.000000,558.200012,561.400024,559.711853,215056
